candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"brand-onkron","/kronshteyny-onkron/","кронштейн onkron","бренд после категории","""[кронштейн onkron]""","8464","кронштейн onkron","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.121Z","https://wordstat.yandex.ru/"
"brand-onkron","/kronshteyny-onkron/","кронштейн онкрон","кириллический бренд","""[кронштейн онкрон]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.121Z","https://wordstat.yandex.ru/"
"brand-onkron","/kronshteyny-onkron/","onkron кронштейн","бренд перед категорией","""[onkron кронштейн]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.121Z","https://wordstat.yandex.ru/"
"commercial-buy","/kupit-kronshteyn-dlya-televizora/","купить кронштейн для телевизора","основная формулировка","""[купить кронштейн для телевизора]""","6834","купить кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.121Z","https://wordstat.yandex.ru/"
"commercial-buy","/kupit-kronshteyn-dlya-televizora/","купить кронштейн на телевизор","предлог на","""[купить кронштейн на телевизор]""","3972","купить кронштейн на телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.121Z","https://wordstat.yandex.ru/"
"mechanism-extendable","/tipy-kronshteynov/vydvizhnoy/","выдвижной кронштейн для телевизора","основная формулировка","""[выдвижной кронштейн для телевизора]""","1800","выдвижной кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.121Z","https://wordstat.yandex.ru/"
"mechanism-extendable","/tipy-kronshteynov/vydvizhnoy/","выдвижной кронштейн на телевизор","предлог на","""[выдвижной кронштейн на телевизор]""","922","выдвижной кронштейн на телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.121Z","https://wordstat.yandex.ru/"
