candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"tv-screws","/vinty-dlya-krepleniya-televizora/","винты для крепления телевизора","общая формулировка","""[винты для крепления телевизора]""","1095","винты для крепления телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
"tv-screws","/vinty-dlya-krepleniya-televizora/","какие болты нужны для крепления телевизора","разговорная формулировка","""[какие болты нужны для крепления телевизора]""","511","какие болты нужны для крепления телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
"tv-screws","/vinty-dlya-krepleniya-televizora/","винты для крепления телевизора к кронштейну","к кронштейну","""[винты для крепления телевизора к кронштейну]""","419","винты для крепления телевизора к кронштейну","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
"vesa-by-model","/tablica-vesa-televizorov/","vesa по модели телевизора","поиск по модели","""[vesa по модели телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
"vesa-size","/tablica-vesa-televizorov/","размер vesa телевизора","размер стандарта","""[размер vesa телевизора]""","952","размер vesa телевизор","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
"vesa-size","/tablica-vesa-televizorov/","какое vesa у телевизора","разговорная формулировка","""[какое vesa у телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
"vesa-table","/tablica-vesa-televizorov/","таблица vesa телевизоров","таблица перед стандартом","""[таблица vesa телевизоров]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
"vesa-table","/tablica-vesa-televizorov/","vesa телевизоров таблица","таблица после категории","""[vesa телевизоров таблица]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T08:05:08.563Z","https://wordstat.yandex.ru/"
