candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,frequency_interpretation,do_not_sum,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url,source_label
"tv-freezes","/televizor-zavis/","телевизор завис","head","""[телевизор завис]""","13963","телевизор зависай","measured","single_operator_result","directional","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
"tv-no-internet","/televizor-ne-podklyuchaetsya-k-internetu/","телевизор не подключается к интернету","head","""[телевизор не подключается к интернету]""","4727","телевизор не подключается к интернету","measured","normalized_exact","measured","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
"tv-no-sound","/net-zvuka-na-televizore/","нет звука на телевизоре","head","""[нет звука на телевизоре]""","14476","нет звука на телевизоре","measured","normalized_exact","measured","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
"tv-remote-not-working","/ne-rabotaet-pult-ot-televizora/","не работает пульт от телевизора","head","""[не работает пульт от телевизора]""","5627","не работает пульт от телевизора","measured","normalized_exact","measured","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
"tv-sound-no-picture","/televizor-zvuk-est-izobrazheniya-net/","телевизор звук есть изображения нет","head","""[телевизор звук есть изображения нет]""","14478","телевизор звук есть изображения нет","measured","normalized_exact","measured","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
"tv-turns-off","/televizor-sam-vyklyuchaetsya/","телевизор сам выключается","head","""[телевизор сам выключается]""","5893","телевизор сам выключается","measured","normalized_exact","measured","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
"tv-usb-not-seen","/televizor-ne-vidit-fleshku/","телевизор не видит флешку","head","""[телевизор не видит флешку]""","3662","телевизор не видит флешку","measured","normalized_exact","measured","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
"tv-wont-turn-on","/televizor-ne-vklyuchaetsya/","телевизор не включается","head","""[телевизор не включается]""","73943","телевизор не включайся","measured","single_operator_result","directional","true","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-01T12:43:39.011Z","https://wordstat.yandex.ru/","Яндекс Wordstat через XMLRiver: Top queries, запрос в кавычках и квадратных скобках, Россия, все устройства"
