candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"hisense-55u7s-pro-wall","/modeli/hisense-55u7s-pro/","крепление на стену Hisense 55U7S PRO","wall","""[крепление на стену Hisense 55U7S PRO]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55u7s-screws","/modeli/hisense-55u7s/","винты для Hisense 55U7S","screws","""[винты для Hisense 55U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55u7s-vesa","/modeli/hisense-55u7s/","vesa Hisense 55U7S","vesa","""[vesa Hisense 55U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-55u7s-wall","/modeli/hisense-55u7s/","крепление на стену Hisense 55U7S","wall","""[крепление на стену Hisense 55U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-65u7s-how-to","/modeli/hisense-65u7s/","как повесить Hisense 65U7S на стену","how-to","""[как повесить Hisense 65U7S на стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-65u7s-mount","/modeli/hisense-65u7s/","кронштейн для телевизора Hisense 65U7S","mount","""[кронштейн для телевизора Hisense 65U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-65u7s-screws","/modeli/hisense-65u7s/","винты для Hisense 65U7S","screws","""[винты для Hisense 65U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-65u7s-vesa","/modeli/hisense-65u7s/","vesa Hisense 65U7S","vesa","""[vesa Hisense 65U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"hisense-65u7s-wall","/modeli/hisense-65u7s/","крепление на стену Hisense 65U7S","wall","""[крепление на стену Hisense 65U7S]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"samsung-ue55u8000fuxru-how-to","/modeli/samsung-ue55u8000fuxru/","как повесить Samsung UE55U8000FUXRU на стену","how-to","""[как повесить Samsung UE55U8000FUXRU на стену]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"samsung-ue55u8000fuxru-mount","/modeli/samsung-ue55u8000fuxru/","кронштейн для телевизора Samsung UE55U8000FUXRU","mount","""[кронштейн для телевизора Samsung UE55U8000FUXRU]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
"samsung-ue55u8000fuxru-screws","/modeli/samsung-ue55u8000fuxru/","винты для Samsung UE55U8000FUXRU","screws","""[винты для Samsung UE55U8000FUXRU]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-31T15:06:09.193Z","https://wordstat.yandex.ru/"
