observed_rank,page,page_rank,market_product_id,brand,model_candidate,model_candidate_confidence,market_title,purchase_count,purchase_label,rating_value,rating_count,sponsored,currently_listed,already_in_catalog,catalog_model_id,catalog_model,market_url,observed_at
"115","17","8","5829371587","Candy","Телевизор 32 дюйма","high","Candy Телевизор 32 дюйма, Smart TV, DLED, FHD","636","636 купили","4.699999809265137","209","false","true","false","","","https://market.yandex.ru/card/candy-televizor-32-dyuyma-smart-tv-dled-fhd/5829371587","2026-08-04T19:21:38.566Z"
"116","17","9","5145016589","BBK","24LEM-1033/TS2C","high","Телевизор BBK 24LEM-1033/TS2C (B) 24"" LED, HD, черный","18","18 купили","4.599999904632568","5","false","true","false","","","https://market.yandex.ru/card/televizor-led-bbk-236-24lem-1033ts2c-b-frameless-chernyy/5145016589","2026-08-04T19:21:38.566Z"
"117","17","10","5857304311","","19-дюймовый","high","19-дюймовый ультратонкий HD-телевизор, поддерживает антенну T2, подходит для дома, тренажерного зала, караоке или бара, поддерживает Wi-Fi","3","3 купили","5","2","false","true","false","","","https://market.yandex.ru/card/19-dyuymovyy-ultratonkiy-hd-televizor-podderzhivayet-antennu-t2-podkhodit-dlya-doma-trenazhernogo-zala-karaoke-ili-bara-podderzhivayet-wi-fi/5857304311","2026-08-04T19:21:38.566Z"
"118","17","12","5059787472","Candy","Uno 32""","high","Телевизор Candy Uno 32"", разрешение HD, Android TV, Wi-Fi, Bluetooth, черный","","","","","false","true","false","","","https://market.yandex.ru/card/televizor-candy-uno-32-razresheniye-hd-android-tv-wi-fi-bluetooth-chernyy/5059787472","2026-08-04T19:21:38.566Z"
"119","17","15","1739996272","LG","32LQ630B6LA","high","Телевизор LG 32LQ630B6LA","3","3 купили","5","1","false","true","false","","","https://market.yandex.ru/card/32-televizor-lg-32lq630b6la-2022-ips-chernoye-steklo/1739996272","2026-08-04T19:21:38.566Z"
"120","18","4","663358007","HARPER","40F720T","high","Телевизор Harper 40F720T, 1920x1080 (FullHD), 250 Кд/м2 , черный","22","22 купили","4.800000190734863","9","false","true","false","","","https://market.yandex.ru/card/televizor-harper-40f720t/663358007","2026-08-04T19:21:38.566Z"
"121","19","1","5810253465","Hisense","85E7S","high","ЖК-телевизор 85"" Hisense 85E7S, QLED, 4K Ultra HD, смарт ТВ, черный","","","","","false","true","false","","","https://market.yandex.ru/card/zhk-televizor-85-hisense-85e7s-chernyy/5810253465","2026-08-04T19:21:38.566Z"
"122","19","2","5718479093","SBER","SDX-43U5500DBA","high","Умный телевизор Sber SDX-43U5500DBA, 4K Ultra HD, Салют ТВ, черный","2","2 купили","5","1","false","true","false","","","https://market.yandex.ru/card/umnyy-televizor-sber-sdx-43u5500dba-4k-ultra-hd-salyut-tv-chernyy/5718479093","2026-08-04T19:21:38.566Z"
"123","19","3","1334465032","Hi","HX-32H01FB","high","Телевизор Hi HX-32H01FB","757","757 купили","4.699999809265137","307","false","true","false","","","https://market.yandex.ru/card/televizor-hi-hx-32h01fb/1334465032","2026-08-04T19:21:38.566Z"
"124","19","4","1963169709","LG","32LQ63006LA","high","Телевизор LED LG 32"" 32LQ63006LA. ARUG черный FULL HD 60Hz DVB-T DVB-T2 DVB-C DVB-S DVB-S2 USB WiFi Smart TV","","","","","false","true","false","","","https://market.yandex.ru/card/televizor-led-lg-32-32lq63006la-arug-chernyy-full-hd-60hz-dvb-t-dvb-t2-dvb-c-dvb-s-dvb-s2-wifi-smart-tv/1963169709","2026-08-04T19:21:38.566Z"
"125","19","5","6030758680","Leff","32H690T","high","Телевизор LEFF 32H690T HD SMART TV Салют","","","","","false","true","false","","","https://market.yandex.ru/card/televizor-leff-32h690t-hd-smart-tv-salyut/6030758680","2026-08-04T19:21:38.566Z"
"126","19","6","5208036848","SBER","SDX-32F2139","high","32"" Умный телевизор SBER SDX-32F2139, FULL HD, черный, смарт ТВ, Салют ТВ","","","","","false","true","false","","","https://market.yandex.ru/card/32-umnyy-televizor-sber-sdx-32f2139-full-hd-chernyy-smart-tv-salyut-tv/5208036848","2026-08-04T19:21:38.566Z"
"127","19","7","5643921334","HYUNDAI","H-LED32BS5003","high","32"" Телевизор Hyundai H-LED32BS5003, HD, черный, смарт ТВ, YaOS","","","","","false","true","false","","","https://market.yandex.ru/card/32-televizor-hyundai-h-led32bs5003-hd-chernyy-smart-tv-yaos/5643921334","2026-08-04T19:21:38.566Z"
"128","19","9","1353617538","Sony","K-75XR50B","high","Телевизор 75 Sony K-75XR50B, Android MiniLED, 4K UHD, Google TV","","","","","false","true","false","","","https://market.yandex.ru/card/televizor-75-sony-k-75xr50b-android-miniled-4k-uhd-google-tv/1353617538","2026-08-04T19:21:38.566Z"
"129","19","10","139942360","Blackton","24FS34B","high","Телевизор Blackton Bt 24FS34B, 24 дюйма, разрешение 1366x768, черный","6","6 купили","4","2","false","true","false","","","https://market.yandex.ru/card/televizor-blackton-bt-24fs34b/139942360","2026-08-04T19:21:38.566Z"
"130","19","11","5059785032","HYUNDAI","H-LED32BS5002","high","32"" Телевизор Hyundai H-LED32BS5002, HD, черный, смарт ТВ, Android TV","","","","","false","true","false","","","https://market.yandex.ru/card/32-televizor-hyundai-h-led32bs5002-hd-chernyy-smart-tv-android-tv/5059785032","2026-08-04T19:21:38.566Z"
"131","19","13","5519220327","HYUNDAI","H-LED50QBU7500","high","50"" Телевизор Hyundai H-LED50QBU7500, QLED, 4K Ultra HD, черный, смарт ТВ, Android","","","","","false","true","false","","","https://market.yandex.ru/card/50-televizor-hyundai-h-led50qbu7500-qled-4k-ultra-hd-chernyy-smart-tv-android/5519220327","2026-08-04T19:21:38.566Z"
"132","19","14","1770266281","Leff","24H250T","high","ЖК-телевизор LEFF 24H250T, черный, 24"", FullHD, 1920x1080, 60 Гц","4","4 купили","5","1","false","true","false","","","https://market.yandex.ru/card/zhk-televizor-leff-24h250t/1770266281","2026-08-04T19:21:38.566Z"
"133","19","15","5810294879","Haier","DH1ZH0D00RU","high","ЖК-телевизор Haier 55"" MiniLED M4 (DH1ZH0D00RU) 3840 x 2160, VA, 60 Гц, Android TV, Wi-Fi, Bluetooth, серебристый","","","","","false","true","false","","","https://market.yandex.ru/card/zhk-televizor-haier-55-miniled-m4-dh1zh0d00ru-serebristyy/5810294879","2026-08-04T19:21:38.566Z"
