candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"brand-onkron","/kronshteyny-onkron/","онкрон кронштейны","контроль старой CSV: кириллица и обратный порядок","""[онкрон кронштейны]""","617","онкрон кронштейны","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.242Z","https://wordstat.yandex.ru/"
"commercial-buy","/kupit-kronshteyn-dlya-televizora/","кронштейн для телевизора купить","контроль старой CSV: обратный порядок","""[кронштейн для телевизора купить]""","6834","кронштейны для телевизора купить","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.242Z","https://wordstat.yandex.ru/"
"mechanism-extendable","/tipy-kronshteynov/vydvizhnoy/","кронштейн для телевизора выдвижной","контроль старой CSV: обратный порядок","""[кронштейн для телевизора выдвижной]""","1800","кронштейн для телевизора выдвижные","measured","single_operator_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.242Z","https://wordstat.yandex.ru/"
