candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"data-usage","/kak-podklyuchit-televizor-k-internetu/","трафик телевизор","broad_discovery","трафик телевизор","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"dimensions","/razmery-televizora-po-diagonali/","телевизор размеры","broad_discovery","телевизор размеры","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"hdmi","/hdmi-kabel-dlya-televizora/","телевизор hdmi","broad_discovery","телевизор hdmi","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"internet","/kak-podklyuchit-televizor-k-internetu/","телевизор интернет","broad_discovery","телевизор интернет","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"mount","/vinty-dlya-krepleniya-televizora/","телевизор крепление","broad_discovery","телевизор крепление","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"network-speed","/kak-podklyuchit-televizor-k-internetu/","скорость интернета телевизор","broad_discovery","скорость интернета телевизор","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"remote","/televizor-ne-reagiruet-na-pult/","телевизор пульт","broad_discovery","телевизор пульт","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"sound","/kak-podklyuchit-kolonki-k-televizoru/","телевизор звук","broad_discovery","телевизор звук","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
"usb","/televizor-ne-vidit-fleshku/","телевизор флешка","broad_discovery","телевизор флешка","","","ambiguous","multiple_results_without_match","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-09-19T08:09:25.966Z","https://wordstat.yandex.ru/"
