candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"camera-to-tv","/kak-podklyuchit-kameru-k-televizoru/","как подключить камеру к телевизору","main","""[как подключить камеру к телевизору]""","1952","как подключить камеру к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"diagonal-100","/kronshteyn-dlya-televizora-100-dyuyma/","кронштейн для телевизора 100 дюймов","main","""[кронштейн для телевизора 100 дюймов]""","225","кронштейн для телевизора 100 дюймов","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"dvd-to-tv","/kak-podklyuchit-dvd-k-televizoru/","как подключить dvd к телевизору","main","""[как подключить dvd к телевизору]""","1205","как подключить dvd к телевизору","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"phone-hotspot-tv","/kak-razdat-internet-s-telefona-na-televizor/","как раздать интернет с телефона на телевизор","main","""[как раздать интернет с телефона на телевизор]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"smart-tv-setup","/kak-nastroit-smart-tv/","как настроить смарт тв","main","""[как настроить смарт тв]""","8940","как настроить смарт тв","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-120hz-enable","/kak-vklyuchit-120-gerts-na-televizore/","как включить 120 герц на телевизоре","main","""[как включить 120 герц на телевизоре]""","145","как включить 120 герц на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-4k-enable","/kak-vklyuchit-4k-na-televizore/","как включить 4к на телевизоре","main","""[как включить 4к на телевизоре]""","320","как включить 4к на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-alice-connect","/kak-podklyuchit-televizor-k-alise/","как подключить телевизор к алисе","main","""[как подключить телевизор к алисе]""","16424","как подключить телевизор к алисе","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-bluetooth-setup","/kak-vklyuchit-bluetooth-na-televizore/","как подключить телевизор к блютузу","connect","""[как подключить телевизор к блютузу]""","10424","как подключить телевизор к блютузу","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-bluetooth-setup","/kak-vklyuchit-bluetooth-na-televizore/","как включить блютуз на телевизоре","enable","""[как включить блютуз на телевизоре]""","2553","как включить блютуз на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-browser-install","/kak-ustanovit-brauzer-na-televizor/","как установить браузер на телевизор","main","""[как установить браузер на телевизор]""","924","как установить браузер на телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-ethernet-setup","/kak-podklyuchit-televizor-k-internetu-cherez-kabel/","как подключить телевизор к интернету через кабель","ethernet","""[как подключить телевизор к интернету через кабель]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-hdr-enable","/kak-vklyuchit-hdr-na-televizore/","как включить hdr на телевизоре","main","""[как включить hdr на телевизоре]""","460","как включить hdr на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-internet-setup","/kak-podklyuchit-televizor-k-internetu/","как подключить телевизор к интернету","main","""[как подключить телевизор к интернету]""","19160","как подключить телевизор к интернету","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-mount-level","/kak-vyrovnyat-televizor-na-kronshteyne/","как выровнять телевизор на кронштейне","main","""[как выровнять телевизор на кронштейне]""","23","как выровнять телевизор на кронштейне","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-over-fireplace","/televizor-nad-kaminom/","телевизор над камином","main","""[телевизор над камином]""","334","телевизор над камином","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-over-radiator","/televizor-nad-batareey/","телевизор над батареей","main","""[телевизор над батареей]""","78","телевизор над батареей","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-refresh-rate-check","/kak-uznat-gertsovku-televizora/","как узнать герцовку телевизора","main","""[как узнать герцовку телевизора]""","13","как узнать герцовку телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-resolution-check","/kak-uznat-razreshenie-televizora/","как узнать разрешение телевизора","main","""[как узнать разрешение телевизора]""","164","как узнать разрешение телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-restart","/kak-perezagruzit-televizor/","как перезагрузить телевизор","main","""[как перезагрузить телевизор]""","12087","как перезагрузить телевизор","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-sleep-timer","/kak-otklyuchit-taymer-na-televizore/","как выключить таймер на телевизоре","main","""[как выключить таймер на телевизоре]""","143","как выключить таймер на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-store-mode","/kak-ubrat-demo-rezhim-na-televizore/","как убрать демо режим на телевизоре","main","""[как убрать демо режим на телевизоре]""","174","как убрать демо режим на телевизоре","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
"tv-wall-niche","/nisha-pod-televizor-razmery/","ниша под телевизор размеры","main","""[ниша под телевизор размеры]""","70","ниша под телевизор размеры","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-08-10T07:59:42.953Z","https://wordstat.yandex.ru/"
