candidate_id,candidate_path,query,variant,operator_query,seo_frequency,returned_phrase,frequency_status,match_method,seo_region_id,seo_region,seo_period,seo_devices,observed_at,source_url
"brand-onkron","/kronshteyny-onkron/","!кронштейн onkron","строгая словоформа: единственное число","""[!кронштейн onkron]""","8464","кронштейн onkron","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.363Z","https://wordstat.yandex.ru/"
"brand-onkron","/kronshteyny-onkron/","!кронштейны onkron","строгая словоформа: множественное число","""[!кронштейны onkron]""","8464","кронштейны onkron","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.363Z","https://wordstat.yandex.ru/"
"commercial-buy","/kupit-kronshteyn-dlya-televizora/","!купить !кронштейн для !телевизора","строгая словоформа: единственное число","""[!купить !кронштейн для !телевизора]""","6834","купить кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.363Z","https://wordstat.yandex.ru/"
"commercial-buy","/kupit-kronshteyn-dlya-televizora/","!купить !кронштейны для !телевизора","строгая словоформа: множественное число","""[!купить !кронштейны для !телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.363Z","https://wordstat.yandex.ru/"
"mechanism-extendable","/tipy-kronshteynov/vydvizhnoy/","!выдвижной !кронштейн для !телевизора","строгая словоформа: единственное число","""[!выдвижной !кронштейн для !телевизора]""","1800","выдвижной кронштейн для телевизора","measured","normalized_exact","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.363Z","https://wordstat.yandex.ru/"
"mechanism-extendable","/tipy-kronshteynov/vydvizhnoy/","!выдвижные !кронштейны для !телевизора","строгая словоформа: множественное число","""[!выдвижные !кронштейны для !телевизора]""","","","no_data","no_result","225","Россия","последний месяц на дату сбора в Top queries","все устройства","2026-07-30T23:27:38.363Z","https://wordstat.yandex.ru/"
